id,name,url,constituency
abdul-samad,Abdul Samad,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/abdul-samad,Nominated Member of Parliament
janet-ang,Janet Ang,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/janet-ang,Nominated Member of Parliament
ang-wei-neng,Ang Wei Neng,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/ang-wei-neng,West Coast GRC
baey-yam-keng,Baey Yam Keng,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/baey-yam-keng,Tampines GRC
cheryl-chan-wei-ling,Cheryl Chan Wei Ling,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/cheryl-chan-wei-ling,East Coast GRC
chan-chun-sing,Chan Chun Sing,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/chan-chun-sing,Tanjong Pagar GRC
mark-chay,Mark Chay,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/mark-chay,Nominated Member of Parliament
chee-hong-tat,Chee Hong Tat,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/chee-hong-tat,Bishan-Toa Payoh GRC
cheng-hsing-yao,Cheng Hsing Yao,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/cheng-hsing-yao,Nominated Member of Parliament
cheng-li-hui,Cheng Li Hui,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/cheng-li-hui,Tampines GRC
edward-chia-bing-hui,Edward Chia Bing Hui,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/edward-chia-bing-hui,Holland-Bukit Timah GRC
chong-kee-hiong,Chong Kee Hiong,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/chong-kee-hiong,Bishan-Toa Payoh GRC
desmond-choo,Desmond Choo,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/desmond-choo,Tampines GRC
louis-chua-kheng-wee,Chua Kheng Wee Louis,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/louis-chua-kheng-wee,Sengkang GRC
eric-chua-swee-leong,Eric Chua,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/eric-chua-swee-leong,Tanjong Pagar GRC
darryl-david,Darryl David,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/darryl-david,Ang Mo Kio GRC
christopher-de-souza,Christopher de Souza,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/christopher-de-souza,Holland-Bukit Timah GRC
foo-mee-har,Foo Mee Har,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/foo-mee-har,West Coast GRC
grace-fu-hai-yien,Grace Fu Hai Yien,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/grace-fu-hai-yien,Yuhua
gan-kim-yong,Gan Kim Yong,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/gan-kim-yong,Chua Chu Kang GRC
gan-siow-huang,Gan Siow Huang,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/gan-siow-huang,Marymount
gan-thiam-poh,Gan Thiam Poh,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/gan-thiam-poh,Ang Mo Kio GRC
gerald-giam-yean-song,Gerald Giam Yean Song,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/gerald-giam-yean-song,Aljunied GRC
derrick-goh-soon-hee,Derrick Goh,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/derrick-goh-soon-hee,Nee Soon GRC
he-ting-ru,He Ting Ru,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/he-ting-ru,Sengkang GRC
heng-chee-how,Heng Chee How,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/heng-chee-how,Jalan Besar GRC
heng-swee-keat,Heng Swee Keat,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/heng-swee-keat,East Coast GRC
hoon-hian-teck,Hoon Hian Teck,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/hoon-hian-teck,Nominated Member of Parliament
shawn-huang-wei-zhong,Shawn Huang Wei Zhong,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/shawn-huang-wei-zhong,Jurong GRC
indranee-rajah,Indranee Rajah,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/indranee-rajah,Tanjong Pagar GRC
s-iswaran,S Iswaran,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/s-iswaran,West Coast GRC
janil-puthucheary,Janil Puthucheary,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/janil-puthucheary,Pasir Ris-Punggol GRC
amy-khor-lean-suan,Amy Khor Lean Suan,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/amy-khor-lean-suan,Hong Kah North
koh-lian-pin,Koh Lian Pin,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/koh-lian-pin,Nominated Member of Parliament
koh-poh-koon,Koh Poh Koon,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/koh-poh-koon,Tampines GRC
kwek-hian-chuan-henry,Kwek Hian Chuan Henry,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/kwek-hian-chuan-henry,Kebun Baru
desmond-lee,Desmond Lee,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/desmond-lee,West Coast GRC
lee-hsien-loong,Lee Hsien Loong,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/lee-hsien-loong,Ang Mo Kio GRC
leong-mun-wai,Leong Mun Wai,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/leong-mun-wai,Non-Constituency Member of Parliament
liang-eng-hwa,Liang Eng Hwa,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/liang-eng-hwa,Bukit Panjang
lim-biow-chuan,Lim Biow Chuan,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/lim-biow-chuan,Mountbatten
jamus-jerome-lim-chee-wui,Prof Jamus Jerome Lim,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/jamus-jerome-lim-chee-wui,Sengkang GRC
sylvia-lim,Sylvia Lim,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/sylvia-lim,Aljunied GRC
lim-wee-kiak,Lim Wee Kiak,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/lim-wee-kiak,Sembawang GRC
low-yen-ling,Low Yen Ling,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/low-yen-ling,Chua Chu Kang GRC
mariam-jaafar,Mariam Jaafar,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/mariam-jaafar,Sembawang GRC
masagos-zulkifli-bin-masagos-mohamad,Masagos Zulkifli Bin Masagos Mohamad,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/masagos-zulkifli-bin-masagos-mohamad,Tampines GRC
mohamad-maliki-bin-osman,Mohamad Maliki Bin Osman,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/mohamad-maliki-bin-osman,East Coast GRC
mohd-fahmi-bin-aliman,Mohd Fahmi Bin Aliman,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/mohd-fahmi-bin-aliman,Marine Parade GRC
muhamad-faisal-bin-abdul-manap,Muhamad Faisal Bin Abdul Manap,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/muhamad-faisal-bin-abdul-manap,Aljunied GRC
muhammad-faishal-ibrahim,Prof Dr Muhammad Faishal Ibrahim,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/muhammad-faishal-ibrahim,Nee Soon GRC
murali-pillai,Murali Pillai SC,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/murali-pillai,Bukit Batok
nadia-ahmad-samdin,Nadia Ahmad Samdin,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/nadia-ahmad-samdin,Ang Mo Kio GRC
ng-eng-hen,Ng Eng Hen,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/ng-eng-hen,Bishan-Toa Payoh GRC
ng-ling-ling,Ng Ling Ling,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/ng-ling-ling,Ang Mo Kio GRC
louis-ng-kok-kwang,Louis Ng Kok Kwang,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/louis-ng-kok-kwang,Nee Soon GRC
rachel-ong-sin-yen,Rachel Ong,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/rachel-ong-sin-yen,West Coast GRC
ong-ye-kung,Ong Ye Kung,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/ong-ye-kung,Sembawang GRC
joan-pereira,Joan Pereira,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/joan-pereira,Tanjong Pagar GRC
leon-perera,Leon Perera,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/leon-perera,Aljunied GRC
denise-phua-lay-peng,Denise Phua Lay Peng,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/denise-phua-lay-peng,Jalan Besar GRC
hazel-poa,Hazel Poa,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/hazel-poa,Non-Constituency Member of Parliament
poh-li-san,Poh Li San,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/poh-li-san,Sembawang GRC
pritam-singh,Pritam Singh,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/pritam-singh,Aljunied GRC
raeesah-begum-bte-farid-khan,Raeesah Khan,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/raeesah-begum-bte-farid-khan,Sengkang GRC
rahayu-mahzam,Rahayu Mahzam,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/rahayu-mahzam,Jurong GRC
saktiandi-supaat,Saktiandi Supaat,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/saktiandi-supaat,Bishan-Toa Payoh GRC
seah-kian-peng,Seah Kian Peng,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/seah-kian-peng,Marine Parade GRC
shahira-abdullah,Shahira Abdullah,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/shahira-abdullah,Nominated Member of Parliament
k-shanmugam,K Shanmugam,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/k-shanmugam,Nee Soon GRC
sharael-taha,Sharael Taha,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/sharael-taha,Pasir Ris-Punggol GRC
sim-ann,Sim Ann,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/sim-ann,Holland-Bukit Timah GRC
sitoh-yih-pin,Sitoh Yih Pin,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/sitoh-yih-pin,Potong Pasir
hany-soh-hui-bin,Hany Soh,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/hany-soh-hui-bin,Marsiling-Yew Tee GRC
sun-xueling,Sun Xueling,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/sun-xueling,Punggol West
alvin-tan-sheng-hui,Alvin Tan,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/alvin-tan-sheng-hui,Tanjong Pagar GRC
carrie-tan,Carrie Tan,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/carrie-tan,Nee Soon GRC
tan-chuan-jin,Tan Chuan-Jin,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/tan-chuan-jin,Marine Parade GRC
dennis-tan-lip-fong,Dennis Tan Lip Fong,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/dennis-tan-lip-fong,Hougang
desmond-tan-kok-ming,Desmond Tan,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/desmond-tan-kok-ming,Pasir Ris-Punggol GRC
jessica-tan-soon-neo,Jessica Tan Soon Neo,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/jessica-tan-soon-neo,East Coast GRC
tan-kiat-how,Tan Kiat How,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/tan-kiat-how,East Coast GRC
tan-see-leng,Tan See Leng,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/tan-see-leng,Marine Parade GRC
tan-wu-meng,Tan Wu Meng,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/tan-wu-meng,Jurong GRC
tan-yia-swam,Tan Yia Swam,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/tan-yia-swam,Nominated Member of Parliament
patrick-tay-teck-guan,Patrick Tay Teck Guan,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/patrick-tay-teck-guan,Pioneer
teo-chee-hean,Teo Chee Hean,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/teo-chee-hean,Pasir Ris-Punggol GRC
josephine-teo,Josephine Teo,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/josephine-teo,Jalan Besar GRC
tharman-shanmugaratnam,Tharman Shanmugaratnam,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/tharman-shanmugaratnam,Jurong GRC
raj-joshua-thomas,Raj Joshua Thomas,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/raj-joshua-thomas,Nominated Member of Parliament
tin-pei-ling,Tin Pei Ling,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/tin-pei-ling,MacPherson
edwin-tong-chun-fai,Edwin Tong Chun Fai,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/edwin-tong-chun-fai,Marine Parade GRC
vikram-nair,Vikram Nair,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/vikram-nair,Sembawang GRC
vivian-balakrishnan,Vivian Balakrishnan,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/vivian-balakrishnan,Holland-Bukit Timah GRC
wan-rizal,Wan Rizal,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/wan-rizal,Jalan Besar GRC
don-wee-boon-hong,Don Wee,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/don-wee-boon-hong,Chua Chu Kang GRC
lawrence-wong,Lawrence Wong,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/lawrence-wong,Marsiling-Yew Tee GRC
xie-yao-quan,Xie Yao Quan,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/xie-yao-quan,Jurong GRC
alex-yam-ziming,Alex Yam Ziming,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/alex-yam-ziming,Marsiling-Yew Tee GRC
yeo-wan-ling,Yeo Wan Ling,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/yeo-wan-ling,Pasir Ris-Punggol GRC
yip-hon-weng,Yip Hon Weng,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/yip-hon-weng,Yio Chu Kang
melvin-yong-yik-chye,Melvin Yong Yik Chye,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/melvin-yong-yik-chye,Radin Mas
zaqy-mohamad,Zaqy Mohamad,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/zaqy-mohamad,Marsiling-Yew Tee GRC
zhulkarnain-abdul-rahim,Zhulkarnain Abdul Rahim,https://www.parliament.gov.sg/mps/current-list-of-mps/mp/details/zhulkarnain-abdul-rahim,Chua Chu Kang GRC
